com;1;1,0%
держать;1;1,0%
делать;1;1,0%
аккуратный;1;1,0%
data;1;1,0%
тоже;1;1,0%
Антон;1;1,0%
put;1;1,0%
618c820f20a28b354642f7f42e826eee3d08d78d;1;1,0%
В;1;1,0%
И;1;1,0%
не;1;1,0%
https;1;1,0%
Написано;1;1,0%
11;1;1,0%
12;1;1,0%
моментов;1;1,0%
new;1;1,0%
С;1;1,0%
github;1;1,0%
переменная;1;1,0%
17;1;1,0%
19;1;1,0%
tree;1;1,0%
writerCSV;1;1,0%
va;1;1,0%
Архитектура;1;1,0%
1;1;1,0%
NSU;1;1,0%
2;1;1,0%
JaИзбавьтесь;1;1,0%
кому;1;1,0%
8;1;1,0%
и;1;1,0%
назад;1;1,0%
try;1;1,0%
begin;1;1,0%
нормально;1;1,0%
ru;1;1,0%
мне;1;1,0%
от;1;1,0%
StringBuilder;1;1,0%
28;1;1,0%
Коботов;1;1,0%
во;1;1,0%
тогда;1;1,0%
Пара;1;1,0%
Лукиша;1;1,0%
nsu;1;1,0%
весь;1;1,0%
Здравствуйте;1;1,0%
нужна;1;1,0%
пн;1;1,0%
Код;1;1,0%
a;1;1,0%
верная;1;1,0%
39;1;1,0%
g;1;1,0%
Воспользуйтесь;1;1,0%
resources;1;1,0%
После;1;1,0%
фаил;1;1,0%
FIT;1;1,0%
with;1;1,0%
файла;1;1,0%
часов;1;1,0%
понятно;1;1,0%
хранения;1;1,0%
уважением;1;1,0%
lukisha;1;1,0%
antonlukisha;1;1,0%
wordHandler;1;1,0%
Русланович;1;1,0%
необязательно;1;1,0%
writeWithStatistic;1;1,0%
Владимирович;2;2,0%
2024;2;2,0%
г;2;2,0%
памяти;2;2,0%
countWordsOfFile;2;2,0%
stream;2;2,0%
мар;2;2,0%
целиком;2;2,0%
Александр;2;2,0%
в;6;6,1%
